,ConvertedCompYearly,C++,HTML/CSS,JavaScript,PHP,Swift,Python,C,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Kotlin,Julia,Delphi,Go,Scala,Dart,Groovy,Clojure,Elixir,COBOL,PostgreSQL,Redis,Microsoft SQL Server,DynamoDB,Flask,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,Microsoft Azure,AWS,Google Cloud Platform
Bash/Shell,0.08,0.12,0.08,0.04,0.07,0.00,0.24,0.17,0.09,0.00,1.00,0.09,-0.13,0.11,0.13,0.11,0.02,0.03,-0.03,0.17,0.06,0.01,0.11,0.02,0.02,0.01,0.15,0.11,-0.11,0.08,0.13,0.01,0.06,0.03,0.01,0.05,0.06,-0.02,0.14,0.08
SQL,-0.07,-0.10,0.24,0.21,0.16,-0.04,0.01,-0.08,-0.04,0.09,0.09,1.00,0.21,0.07,0.11,0.18,-0.02,-0.03,0.02,0.01,0.03,0.01,0.03,-0.03,0.00,0.02,0.12,0.13,0.35,0.03,0.05,0.23,0.03,0.04,0.09,0.04,0.05,0.15,0.06,0.04
C#,-0.10,0.04,0.12,0.10,-0.01,-0.02,-0.16,-0.02,-0.06,0.15,-0.13,0.21,1.00,-0.08,0.01,0.36,-0.04,-0.03,0.05,-0.09,-0.07,0.03,-0.04,-0.10,-0.07,0.04,-0.18,-0.05,0.57,-0.05,-0.09,0.16,-0.04,-0.05,0.14,-0.13,-0.08,0.40,-0.18,-0.07
Java,0.07,0.06,0.00,0.05,0.01,0.07,0.08,0.07,0.03,0.05,0.11,0.07,-0.08,1.00,0.10,-0.01,0.26,-0.01,-0.01,0.06,0.12,0.05,0.22,0.03,-0.04,0.06,0.05,0.02,-0.05,0.12,0.02,0.03,0.05,0.04,0.08,-0.07,0.01,-0.04,0.12,0.07
Node.js,0.00,-0.03,0.33,0.43,0.15,0.06,0.02,-0.03,0.04,0.39,0.13,0.11,0.01,0.10,1.00,0.07,0.05,-0.03,-0.01,0.10,0.01,0.07,0.05,-0.03,0.03,0.01,0.15,0.17,-0.01,0.16,0.04,0.15,0.48,0.39,0.13,0.05,0.04,0.06,0.19,0.14
PowerShell,-0.07,0.03,0.12,0.08,0.04,-0.03,0.02,0.02,-0.01,0.10,0.11,0.18,0.36,-0.01,0.07,1.00,-0.02,-0.02,0.03,0.00,-0.02,-0.01,0.03,-0.05,-0.04,0.04,-0.08,0.01,0.35,0.00,-0.01,0.12,-0.01,-0.03,0.09,-0.09,-0.01,0.27,-0.07,-0.04
Kotlin,0.04,-0.01,-0.03,-0.01,0.00,0.22,0.02,0.02,0.07,0.07,0.02,-0.02,-0.04,0.26,0.05,-0.02,1.00,0.00,0.00,0.04,0.03,0.10,0.13,0.00,0.02,0.01,0.03,0.04,-0.06,0.08,0.00,-0.05,0.03,0.03,0.01,-0.02,0.01,-0.01,0.06,0.07
Julia,0.01,0.05,-0.04,-0.06,-0.01,0.00,0.07,0.04,0.05,-0.03,0.03,-0.03,-0.03,-0.01,-0.03,-0.02,0.00,1.00,-0.01,0.00,0.03,0.01,-0.01,0.00,0.01,-0.01,0.00,-0.01,-0.04,-0.01,0.00,-0.04,-0.02,-0.02,-0.03,-0.02,0.00,-0.02,0.00,0.03
Delphi,-0.03,0.05,-0.02,-0.03,0.03,-0.01,-0.03,0.04,-0.02,-0.02,-0.03,0.02,0.05,-0.01,-0.01,0.03,0.00,-0.01,1.00,-0.01,-0.01,0.01,-0.01,-0.01,0.00,0.07,-0.04,-0.03,0.07,-0.02,-0.01,0.03,-0.01,-0.03,0.02,-0.02,-0.01,0.00,-0.01,-0.02
Go,0.14,0.06,0.00,0.03,0.02,0.02,0.14,0.11,0.19,0.07,0.17,0.01,-0.09,0.06,0.10,0.00,0.04,0.00,-0.01,1.00,0.03,0.05,0.06,0.00,0.07,0.01,0.15,0.16,-0.11,0.13,0.13,-0.04,0.06,0.07,0.00,0.06,0.06,0.00,0.16,0.15
Scala,0.10,-0.01,-0.03,-0.02,-0.04,-0.02,0.07,0.00,0.05,0.02,0.06,0.03,-0.07,0.12,0.01,-0.02,0.03,0.03,-0.01,0.03,1.00,0.00,0.06,0.06,0.02,0.02,0.07,0.04,-0.04,0.09,0.03,-0.02,0.00,0.01,-0.01,-0.01,0.00,0.01,0.07,0.04
Dart,-0.01,0.01,0.03,0.05,0.02,0.11,0.02,0.03,0.02,0.05,0.01,0.01,0.03,0.05,0.07,-0.01,0.10,0.01,0.01,0.05,0.00,1.00,-0.01,0.00,0.01,-0.01,0.02,0.04,0.00,0.01,0.01,0.02,0.05,0.04,0.01,0.02,0.01,0.02,0.02,0.09
Groovy,0.07,0.01,0.00,0.01,-0.02,0.01,0.06,0.02,0.00,0.02,0.11,0.03,-0.04,0.22,0.05,0.03,0.13,-0.01,-0.01,0.06,0.06,-0.01,1.00,0.00,-0.01,0.03,0.04,0.05,-0.01,0.08,0.03,0.01,0.01,0.01,0.03,-0.01,0.00,-0.01,0.06,0.02
Clojure,0.11,-0.05,-0.05,-0.04,-0.03,-0.02,-0.02,-0.03,0.02,-0.03,0.02,-0.03,-0.10,0.03,-0.03,-0.05,0.00,0.00,-0.01,0.00,0.06,0.00,0.00,1.00,0.02,-0.01,0.10,0.01,-0.08,0.06,-0.01,-0.05,-0.03,0.09,-0.03,0.00,-0.01,-0.07,0.09,0.02
Elixir,0.06,-0.03,0.00,0.04,-0.01,0.04,-0.01,0.00,0.09,0.01,0.02,0.00,-0.07,-0.04,0.03,-0.04,0.02,0.01,0.00,0.07,0.02,0.01,-0.01,0.02,1.00,0.00,0.16,0.10,-0.06,0.01,0.02,-0.03,0.03,0.07,-0.02,0.15,0.01,-0.02,0.08,0.05
COBOL,-0.01,0.05,0.03,0.03,0.02,0.03,0.00,0.06,-0.01,0.00,0.01,0.02,0.04,0.06,0.01,0.04,0.01,-0.01,0.07,0.01,0.02,-0.01,0.03,-0.01,0.00,1.00,0.01,0.01,0.04,0.01,0.04,0.04,0.02,0.03,0.04,0.01,0.02,0.04,0.01,0.04
PostgreSQL,0.11,-0.06,0.07,0.13,0.01,0.02,0.14,-0.03,0.10,0.10,0.15,0.12,-0.18,0.05,0.15,-0.08,0.03,0.00,-0.04,0.15,0.07,0.02,0.04,0.10,0.16,0.01,1.00,0.31,-0.14,0.14,0.18,-0.01,0.15,0.22,0.01,0.29,0.20,-0.07,0.34,0.16
Redis,0.13,-0.05,0.10,0.16,0.10,0.03,0.05,-0.03,0.06,0.14,0.11,0.13,-0.05,0.02,0.17,0.01,0.04,-0.01,-0.03,0.16,0.04,0.04,0.05,0.01,0.10,0.01,0.31,1.00,-0.06,0.15,0.13,0.09,0.17,0.18,0.06,0.28,0.14,0.02,0.24,0.14
Microsoft SQL Server,-0.13,-0.09,0.13,0.11,0.01,-0.03,-0.14,-0.09,-0.11,0.09,-0.11,0.35,0.57,-0.05,-0.01,0.35,-0.06,-0.04,0.07,-0.11,-0.04,0.00,-0.01,-0.08,-0.06,0.04,-0.14,-0.06,1.00,-0.05,-0.07,0.21,-0.04,-0.07,0.13,-0.13,-0.05,0.41,-0.13,-0.06
DynamoDB,0.16,-0.04,0.02,0.07,0.02,0.04,0.08,-0.04,0.02,0.11,0.08,0.03,-0.05,0.12,0.16,0.00,0.08,-0.01,-0.02,0.13,0.09,0.01,0.08,0.06,0.01,0.01,0.14,0.15,-0.05,1.00,0.09,0.00,0.14,0.12,0.03,0.03,0.04,-0.04,0.33,0.08
Flask,0.03,0.05,0.03,0.03,-0.01,0.00,0.35,0.10,0.06,-0.01,0.13,0.05,-0.09,0.02,0.04,-0.01,0.00,0.00,-0.01,0.13,0.03,0.01,0.03,-0.01,0.02,0.04,0.18,0.13,-0.07,0.09,1.00,0.01,0.06,0.06,-0.01,0.00,0.26,-0.01,0.12,0.15
jQuery,-0.10,-0.05,0.31,0.33,0.27,0.00,-0.07,-0.02,-0.07,0.06,0.01,0.23,0.16,0.03,0.15,0.12,-0.05,-0.04,0.03,-0.04,-0.02,0.02,0.01,-0.05,-0.03,0.04,-0.01,0.09,0.21,0.00,0.01,1.00,0.08,0.06,0.20,0.09,0.05,0.12,0.02,0.04
Express,0.00,-0.04,0.20,0.26,0.08,0.05,0.02,-0.02,0.03,0.29,0.06,0.03,-0.04,0.05,0.48,-0.01,0.03,-0.02,-0.01,0.06,0.00,0.05,0.01,-0.03,0.03,0.02,0.15,0.17,-0.04,0.14,0.06,0.08,1.00,0.32,0.11,0.04,0.04,0.03,0.16,0.15
React.js,0.03,-0.11,0.26,0.38,0.08,0.03,-0.02,-0.10,0.03,0.35,0.03,0.04,-0.05,0.04,0.39,-0.03,0.03,-0.02,-0.03,0.07,0.01,0.04,0.01,0.09,0.07,0.03,0.22,0.18,-0.07,0.12,0.06,0.06,0.32,1.00,0.08,0.14,0.08,0.01,0.19,0.15
Angular.js,-0.02,0.00,0.16,0.17,0.08,0.01,-0.04,-0.02,-0.02,0.20,0.01,0.09,0.14,0.08,0.13,0.09,0.01,-0.03,0.02,0.00,-0.01,0.01,0.03,-0.03,-0.02,0.04,0.01,0.06,0.13,0.03,-0.01,0.20,0.11,0.08,1.00,0.03,0.02,0.11,0.05,0.06
Ruby on Rails,0.07,-0.08,0.08,0.13,0.02,0.02,-0.07,-0.05,0.01,0.02,0.05,0.04,-0.13,-0.07,0.05,-0.09,-0.02,-0.02,-0.02,0.06,-0.01,0.02,-0.01,0.00,0.15,0.01,0.29,0.28,-0.13,0.03,0.00,0.09,0.04,0.14,0.03,1.00,0.02,-0.08,0.17,0.06
Django,-0.01,0.02,0.07,0.06,0.03,0.01,0.29,0.04,0.02,0.00,0.06,0.05,-0.08,0.01,0.04,-0.01,0.01,0.00,-0.01,0.06,0.00,0.01,0.00,-0.01,0.01,0.02,0.20,0.14,-0.05,0.04,0.26,0.05,0.04,0.08,0.02,0.02,1.00,-0.01,0.11,0.10
Microsoft Azure,-0.02,-0.04,0.11,0.11,0.01,0.00,-0.07,-0.05,-0.03,0.15,-0.02,0.15,0.40,-0.04,0.06,0.27,-0.01,-0.02,0.00,0.00,0.01,0.02,-0.01,-0.07,-0.02,0.04,-0.07,0.02,0.41,-0.04,-0.01,0.12,0.03,0.01,0.11,-0.08,-0.01,1.00,-0.07,0.05
AWS,0.16,-0.08,0.04,0.14,0.10,0.03,0.12,-0.05,0.05,0.12,0.14,0.06,-0.18,0.12,0.19,-0.07,0.06,0.00,-0.01,0.16,0.07,0.02,0.06,0.09,0.08,0.01,0.34,0.24,-0.13,0.33,0.12,0.02,0.16,0.19,0.05,0.17,0.11,-0.07,1.00,0.15
Google Cloud Platform,0.08,-0.01,0.07,0.10,0.06,0.07,0.10,0.02,0.07,0.11,0.08,0.04,-0.07,0.07,0.14,-0.04,0.07,0.03,-0.02,0.15,0.04,0.09,0.02,0.02,0.05,0.04,0.16,0.14,-0.06,0.08,0.15,0.04,0.15,0.15,0.06,0.06,0.10,0.05,0.15,1.00
