,Unnamed: 0,ResponseId,ConvertedCompYearly,C++,HTML/CSS,JavaScript,Objective-C,PHP,Swift,Python,Assembly,C,R,Rust,TypeScript,Bash/Shell,SQL,C#,Java,Node.js,PowerShell,Ruby,Perl,Matlab,Kotlin,Julia,Haskell,Delphi,Go,Scala,Dart,VBA,Groovy,Clojure,APL,LISP,F#,Elixir,Erlang,Crystal,COBOL,PostgreSQL,SQLite,Elasticsearch,Redis,MySQL,Microsoft SQL Server,Oracle,MongoDB,MariaDB,DynamoDB,Couchbase,Firebase,Cassandra,IBM DB2,Laravel,Symfony,Angular,Flask,Vue.js,jQuery,Express,React.js,Angular.js,Ruby on Rails,Django,FastAPI,ASP.NET Core ,Spring,Svelte,ASP.NET,Gatsby,Drupal,Heroku,Microsoft Azure,AWS,Google Cloud Platform,DigitalOcean,Oracle Cloud Infrastructure,IBM Cloud or Watson
Assembly,0.1018,0.1018,0.1092,0.0,0.4388,0.0601,0.0004,0.3053,0.6681,0.0,0.0,0.0,0.0003,0.0,0.0008,0.0,0.098,0.2036,0.0,0.8466,0.0071,0.8437,0.0,0.0,0.0953,0.0139,0.0,0.0006,0.0,0.1804,0.2435,0.0,0.2305,0.1786,0.0965,0.0,0.0098,0.226,0.0,0.1113,0.0,0.2818,0.0,0.2279,0.0905,0.0034,0.0003,0.0131,0.0603,0.0,0.4488,0.0428,0.9538,0.3313,0.4868,0.218,0.0189,0.0533,0.0,0.6951,0.595,0.724,0.0061,0.6023,0.3165,0.1751,0.3857,0.0126,0.3942,0.8397,0.1469,0.3579,0.0004,0.8916,0.1043,0.1603,0.0589,0.0013,0.7114,0.0006
C,0.001,0.001,0.043,0.0,0.0,0.0,0.0,0.1901,0.0,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.1425,0.0,0.0141,0.0392,0.1796,0.0,0.0,0.0414,0.0005,0.0,0.0006,0.0,0.6995,0.0027,0.0686,0.1225,0.0243,0.0336,0.0,0.3548,0.7364,0.0001,0.0374,0.0,0.0143,0.0,0.1514,0.0132,0.0226,0.0,0.2153,0.1271,0.0,0.0012,0.0075,0.9099,0.0943,0.5023,0.0936,0.0524,0.0,0.0,0.0125,0.0473,0.1226,0.0,0.0739,0.0001,0.0007,0.0954,0.0,0.1383,0.0588,0.0,0.0232,0.0028,0.0044,0.0,0.0,0.0462,0.0247,0.0021,0.0002
R,0.0049,0.0049,0.001,0.0099,0.0594,0.0,0.6246,0.1578,0.5089,0.0,0.0003,0.0006,0.0,0.4923,0.0,0.0,0.0,0.0,0.0636,0.0,0.5302,0.416,0.0,0.0,0.032,0.0,0.0001,0.6872,0.2846,0.0,0.928,0.0,0.3806,0.8122,0.2786,0.0001,0.9501,0.0288,0.645,0.85,0.0,0.0016,0.0,0.4978,0.0006,0.0,0.0234,0.0,0.5743,0.2166,0.0393,0.5959,0.7291,0.3287,0.0178,0.035,0.0829,0.0036,0.0,0.0003,0.013,0.0,0.0,0.0857,0.2109,0.0011,0.0409,0.0003,0.9274,0.4643,0.0,0.5563,0.4601,0.7048,0.3201,0.0167,0.0003,0.9142,0.0026,0.0324
Rust,0.0,0.0,0.0,0.0,0.0425,0.1841,0.9913,0.0234,0.0835,0.0,0.0,0.0,0.4923,0.0,0.0,0.0,0.0001,0.0,0.0191,0.0017,0.2492,0.0046,0.4108,0.4716,0.0,0.0,0.0,0.0624,0.0,0.0,0.0617,0.0018,0.904,0.029,0.2851,0.0,0.0006,0.0,0.0,0.0372,0.5395,0.0,0.0,0.0003,0.0,0.5028,0.0,0.0002,0.0093,0.0011,0.0523,0.0182,0.2161,0.0032,0.0089,0.4421,0.8142,0.0145,0.0,0.8943,0.0,0.0097,0.0123,0.1718,0.4416,0.0448,0.0,0.0,0.9156,0.0,0.0,0.2428,0.9849,0.3962,0.0024,0.0,0.0,0.0,0.9594,0.9617
TypeScript,0.003,0.003,0.0433,0.0,0.0,0.0,0.0142,0.0014,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,0.7812,0.0,0.0,0.0,0.0,0.0,0.136,0.0,0.0003,0.0,0.0185,0.3413,0.0287,0.0,0.1011,0.0,0.0183,0.0365,0.0247,0.7236,0.8774,0.0001,0.189,0.1243,0.8396,0.9907,0.0,0.0796,0.0,0.0,0.0002,0.0,0.0329,0.0,0.8875,0.0,0.0051,0.0,0.7816,0.5841,0.007,0.217,0.0,0.3804,0.0,0.0,0.0,0.0,0.0,0.1489,0.7318,0.2917,0.0,0.0,0.0,0.0,0.0,0.4258,0.0,0.0,0.0,0.0,0.0,0.0107,0.3626
Bash/Shell,0.0355,0.0355,0.0,0.0,0.0,0.0002,0.003,0.0,0.9671,0.0,0.0,0.0,0.0,0.0,0.7812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077,0.1225,0.0067,0.0,0.0099,0.0,0.0,0.2669,0.6593,0.0,0.0418,0.3538,0.0,0.7216,0.1713,0.0422,0.0354,0.213,0.0,0.0,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0091,0.4928,0.0,0.2701,0.2822,0.0,0.0,0.0,0.8663,0.4194,0.0,0.005,0.5151,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0363,0.0,0.0,0.0476,0.0,0.0,0.0,0.0019,0.0376
SQL,0.4398,0.4398,0.0,0.0,0.0,0.0,0.1251,0.0,0.0003,0.3468,0.098,0.0,0.0,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0001,0.0,0.1616,0.0038,0.4658,0.1353,0.2642,0.0139,0.31,0.0,0.0067,0.0091,0.6897,0.6726,0.0268,0.9074,0.2481,0.0219,0.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1106,0.0,0.0209,0.107,0.527,0.0786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0055,0.0011,0.0,0.0001,0.0,0.1568,0.0,0.0,0.2296,0.0,0.5099,0.0,0.0979,0.0,0.0,0.0001,0.0009,0.1395,0.6066
C#,0.2064,0.2064,0.0,0.0011,0.0,0.0,0.4365,0.206,0.0944,0.0,0.2036,0.1425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4153,0.0,0.0,0.0013,0.0604,0.0006,0.0082,0.0353,0.0,0.0,0.0,0.0097,0.0,0.0001,0.0,0.2233,0.0005,0.0,0.0,0.0221,0.4489,0.0011,0.0,0.0682,0.0033,0.0,0.0016,0.0,0.0007,0.469,0.0,0.0,0.5353,0.9207,0.0621,0.1548,0.0038,0.3482,0.0,0.0,0.3019,0.0,0.0007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2166,0.0,0.0035,0.9679,0.0,0.0,0.0,0.0,0.0,0.0254,0.2402
Java,0.5677,0.5677,0.0,0.0,0.808,0.0,0.0,0.6088,0.0,0.0,0.0,0.0,0.0636,0.0191,0.0,0.0,0.0,0.0,0.0,0.0,0.5239,0.0048,0.0,0.2185,0.0,0.6014,0.0676,0.4975,0.0,0.0,0.0,0.8972,0.0,0.0021,0.4707,0.0108,0.364,0.0002,0.2612,0.4438,0.0,0.0,0.0,0.0,0.1289,0.0,0.0,0.0,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.2968,0.7748,0.0,0.0957,0.1298,0.0045,0.0,0.0001,0.0,0.0,0.3817,0.7906,0.0,0.0,0.0836,0.0,0.73,0.0009,0.543,0.0001,0.0,0.0,0.7821,0.0049,0.0605
Node.js,0.6523,0.6523,0.8461,0.0022,0.0,0.0,0.0,0.0,0.0,0.0369,0.8466,0.0141,0.0,0.0017,0.0,0.0,0.0,0.4153,0.0,0.0,0.0,0.0,0.8694,0.0008,0.0,0.012,0.1587,0.2401,0.0,0.3372,0.0,0.0269,0.0,0.0243,0.1393,0.1806,0.0658,0.0178,0.0863,0.7942,0.4645,0.0,0.0,0.0,0.0,0.0,0.2793,0.0937,0.0,0.0,0.0,0.0,0.0,0.0676,0.8449,0.0,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0001,0.2426,0.013,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5966,0.0003
PowerShell,0.2012,0.2012,0.0,0.0075,0.0,0.0,0.5767,0.0015,0.0249,0.0967,0.0071,0.0392,0.5302,0.2492,0.0,0.0,0.0,0.0,0.5239,0.0,0.0,0.0,0.0044,0.0771,0.0396,0.1028,0.8605,0.0071,0.7025,0.1786,0.6492,0.0,0.0054,0.0,0.4122,0.302,0.0,0.0003,0.3324,0.5762,0.0004,0.0,0.0,0.0009,0.3669,0.011,0.0,0.0,0.013,0.0744,0.7728,0.9947,0.4089,0.6816,0.0002,0.0993,0.0449,0.0,0.3689,0.004,0.0,0.4553,0.003,0.0,0.0,0.37,0.1616,0.0,0.0421,0.4042,0.0,0.4852,0.0504,0.0,0.0,0.0,0.0011,0.0007,0.8272,0.1663
Ruby,0.2146,0.2146,0.0,0.0,0.0,0.0,0.001,0.0453,0.0042,0.0056,0.8437,0.1796,0.416,0.0046,0.136,0.0,0.0015,0.0,0.0048,0.0,0.0,0.0,0.0024,0.0037,0.8598,0.2834,0.0021,0.0803,0.0,0.1433,0.0983,0.0,0.2367,0.4267,0.1121,0.0057,0.1237,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0,0.5881,0.1083,0.4155,0.0108,0.8526,0.7312,0.0,0.3836,0.0,0.0,0.0104,0.0,0.0883,0.0,0.0936,0.0253,0.0,0.1605,0.0521,0.0,0.0,0.0735,0.0,0.0,0.0,0.0,0.0,0.1183,0.2794
Perl,0.1725,0.1725,0.0669,0.0,0.136,0.8541,0.0,0.0,0.1239,0.0,0.0,0.0,0.0,0.4108,0.0,0.0,0.0001,0.0013,0.0,0.8694,0.0044,0.0024,0.0,0.0004,0.5735,0.8197,0.0037,0.0299,0.0,0.9468,0.1462,0.0424,0.0329,0.1204,0.1847,0.0,0.9373,0.6493,0.1695,0.6387,0.0,0.0164,0.0,0.0003,0.2688,0.0,0.089,0.0,0.4847,0.0,0.7108,0.0146,0.1377,0.0021,0.1175,0.0022,0.0001,0.0216,0.0022,0.2316,0.0,0.0994,0.0,0.0595,0.1151,0.0439,0.2254,0.0,0.0078,0.2636,0.0241,0.7514,0.0,0.0611,0.025,0.8081,0.0325,0.2029,0.018,0.0284
Matlab,0.9575,0.9575,0.0707,0.0,0.0092,0.0,0.6296,0.5042,0.5367,0.0,0.0,0.0,0.0,0.4716,0.0003,0.0077,0.0,0.0604,0.2185,0.0008,0.0771,0.0037,0.0004,0.0,0.632,0.0,0.0196,0.4232,0.3078,0.7391,0.4496,0.0,0.8347,0.0419,0.0479,0.0756,0.6301,0.0486,0.3702,0.7101,0.0408,0.002,0.0163,0.0072,0.0013,0.3525,0.0422,0.0754,0.0099,0.6958,0.0411,0.01,0.1073,0.4108,0.5844,0.3839,0.7996,0.0123,0.0008,0.0111,0.3332,0.0605,0.0,0.8769,0.0016,0.0,0.0058,0.0,0.4229,0.4973,0.0092,0.2618,0.735,0.3226,0.3829,0.0002,0.1176,0.0887,0.0322,0.0033
Kotlin,0.0509,0.0509,0.0017,0.3344,0.0142,0.3143,0.0,0.8585,0.0,0.0272,0.0953,0.0414,0.032,0.0,0.0,0.1225,0.1616,0.0006,0.0,0.0,0.0396,0.8598,0.5735,0.632,0.0,0.83,0.0,0.6593,0.001,0.0028,0.0,0.0029,0.0,0.7706,0.5011,0.101,0.8059,0.1372,0.106,0.7623,0.6225,0.0049,0.0,0.0,0.0013,0.0,0.0,0.5187,0.0,0.4597,0.0,0.8059,0.0,0.0004,0.5496,0.7383,0.7458,0.0021,0.8711,0.4298,0.0,0.0031,0.003,0.4963,0.097,0.2317,0.3935,0.0002,0.0,0.0063,0.0,0.4023,0.7532,0.2234,0.6067,0.0,0.0,0.5347,0.4323,0.1218
Julia,0.0,0.0,0.4298,0.0,0.0007,0.0,0.2498,0.2307,0.9302,0.0,0.0139,0.0005,0.0,0.0,0.0185,0.0067,0.0038,0.0082,0.6014,0.012,0.1028,0.2834,0.8197,0.0,0.83,0.0,0.0001,0.3467,0.6851,0.009,0.3582,0.5584,0.254,0.9798,0.0968,0.0002,0.0002,0.4895,0.9544,0.6294,0.5237,0.9069,0.0019,0.3232,0.378,0.6326,0.0009,0.4772,0.825,0.078,0.4436,0.9065,0.7629,0.5024,0.9433,0.4355,0.624,0.0037,0.9478,0.0623,0.0015,0.0486,0.0522,0.0222,0.0642,0.8957,0.0646,0.0004,0.0939,0.3878,0.0003,0.4752,0.4359,0.4638,0.0963,0.712,0.022,0.1326,0.1827,0.8455
Haskell,0.3032,0.3032,0.1736,0.0013,0.7523,0.8536,0.7838,0.4551,0.3007,0.0,0.0,0.0,0.0001,0.0,0.3413,0.0,0.4658,0.0353,0.0676,0.1587,0.8605,0.0021,0.0037,0.0196,0.0,0.0001,0.0,0.245,0.0,0.0,0.4272,0.5902,0.0689,0.0003,0.0,0.0,0.0,0.0,0.0,0.3253,0.6105,0.0,0.0,0.2393,0.0235,0.9393,0.001,0.5458,0.0677,0.001,0.5179,0.8178,0.5635,0.0636,0.4969,0.5988,0.2028,0.0197,0.0,0.7725,0.5371,0.9452,0.0042,0.3023,0.8025,0.0051,0.0022,0.0099,0.971,0.1803,0.0009,0.3415,0.111,0.0003,0.0562,0.05,0.0227,0.0004,0.4829,0.0179
Delphi,0.0292,0.0292,0.0126,0.0,0.0487,0.013,0.1332,0.0138,0.5125,0.0063,0.0006,0.0006,0.6872,0.0624,0.0287,0.0099,0.1353,0.0,0.4975,0.2401,0.0071,0.0803,0.0299,0.4232,0.6593,0.3467,0.245,0.0,0.4771,0.339,0.2635,0.0008,0.6561,0.2998,0.6533,0.5528,0.0445,0.7199,0.3523,0.551,0.0,0.0003,0.0001,0.2149,0.0251,0.1559,0.0,0.0,0.4281,0.0029,0.0654,0.0445,0.6863,0.0761,0.0023,0.0204,0.122,0.0276,0.2666,0.0589,0.026,0.3107,0.0246,0.0276,0.1098,0.518,0.9809,0.267,0.9258,0.6052,0.015,0.08,0.0,0.0509,0.6835,0.3765,0.0685,0.8943,0.3891,0.0047
Go,0.0088,0.0088,0.0,0.0,0.799,0.0155,0.0004,0.1044,0.0566,0.0,0.0,0.0,0.2846,0.0,0.0,0.0,0.2642,0.0,0.0,0.0,0.7025,0.0,0.0,0.3078,0.001,0.6851,0.0,0.4771,0.0,0.0022,0.0,0.0,0.0,0.7897,0.6944,0.0,0.0771,0.0,0.0,0.0005,0.2444,0.0,0.0,0.0,0.0,0.0,0.0,0.0072,0.0,0.0,0.0,0.0,0.0204,0.0,0.9184,0.0314,0.2397,0.0032,0.0,0.0,0.0002,0.0,0.0,0.7812,0.0,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0228,0.0441,0.9233,0.0,0.0,0.0,0.3719,0.0234
Scala,0.3176,0.3176,0.0,0.3098,0.0107,0.1258,0.9044,0.0009,0.1825,0.0,0.1804,0.6995,0.0,0.0,0.1011,0.0,0.0139,0.0,0.0,0.3372,0.1786,0.1433,0.9468,0.7391,0.0028,0.009,0.0,0.339,0.0022,0.0,0.9628,0.2438,0.0,0.0,0.6399,0.0,0.9085,0.1628,0.0396,0.1743,0.0763,0.0,0.028,0.0,0.0003,0.0003,0.001,0.0563,0.0,0.448,0.0,0.1096,0.2064,0.0,0.0352,0.0579,0.12,0.5396,0.0166,0.841,0.0513,0.7121,0.2355,0.2366,0.5978,0.9847,0.0663,0.0,0.0,0.22,0.0,0.8083,0.9927,0.7958,0.3738,0.0,0.0001,0.2205,0.378,0.0509
Dart,0.6929,0.6929,0.2872,0.2178,0.0023,0.0,0.0,0.0965,0.0,0.0896,0.2435,0.0027,0.928,0.0617,0.0,0.2669,0.31,0.0097,0.0,0.0,0.6492,0.0983,0.1462,0.4496,0.0,0.3582,0.4272,0.2635,0.0,0.9628,0.0,0.0797,0.4752,0.8169,0.3534,0.4364,0.5155,0.2256,0.5651,0.4232,0.3835,0.0655,0.0,0.1572,0.0003,0.23,0.9412,0.0669,0.0,0.2498,0.2226,0.1752,0.0,0.8023,0.1341,0.0,0.0008,0.0001,0.5975,0.0223,0.1101,0.0,0.0012,0.4394,0.1365,0.3271,0.0574,0.0056,0.7917,0.0,0.6527,0.4083,0.1098,0.0,0.1093,0.0448,0.0,0.0,0.2135,0.2325
VBA,0.2971,0.2971,0.0,0.0253,0.0003,0.9947,0.475,0.0,0.1207,0.0972,0.0,0.0686,0.0,0.0018,0.0183,0.6593,0.0,0.0,0.8972,0.0269,0.0,0.0,0.0424,0.0,0.0029,0.5584,0.5902,0.0008,0.0,0.2438,0.0797,0.0,0.2764,0.0045,0.2732,0.2786,0.0008,0.0022,0.2917,0.0001,0.0,0.0,0.0,0.0173,0.0005,0.0001,0.0,0.0,0.9369,0.142,0.0443,0.582,0.8412,0.9364,0.0,0.5163,0.1049,0.0299,0.1054,0.6029,0.0,0.1193,0.0,0.0013,0.0,0.7815,0.6778,0.0,0.2033,0.7313,0.0,0.0938,0.0006,0.0328,0.0,0.0,0.7871,0.002,0.1664,0.9245
Groovy,0.739,0.739,0.0,0.5978,0.9359,0.2229,0.3808,0.0826,0.2894,0.0,0.2305,0.1225,0.3806,0.904,0.0365,0.0,0.0067,0.0001,0.0,0.0,0.0054,0.2367,0.0329,0.8347,0.0,0.254,0.0689,0.6561,0.0,0.0,0.4752,0.2764,0.0,0.9721,0.0374,0.5611,0.6497,0.433,0.6845,0.6369,0.0129,0.0001,0.0274,0.0,0.0,0.0395,0.5063,0.0,0.0008,0.288,0.0,0.0203,0.5508,0.0,0.001,0.0561,0.8972,0.0164,0.0105,0.0682,0.3749,0.2867,0.4947,0.0147,0.2184,0.9167,0.336,0.0004,0.0,0.7688,0.0,0.8806,0.581,0.0625,0.3377,0.0,0.0319,0.1307,0.1927,0.1066
Clojure,0.0,0.0,0.0,0.0,0.0,0.0004,0.3088,0.0102,0.1187,0.0436,0.1786,0.0243,0.8122,0.029,0.0247,0.0418,0.0091,0.0,0.0021,0.0243,0.0,0.4267,0.1204,0.0419,0.7706,0.9798,0.0003,0.2998,0.7897,0.0,0.8169,0.0045,0.9721,0.0,0.0041,0.0,0.0003,0.0654,0.0021,0.5037,0.2593,0.0,0.978,0.0,0.2158,0.0036,0.0,0.1827,0.8008,0.0837,0.0,0.7542,0.1889,0.0,0.3245,0.4396,0.2476,0.0001,0.5385,0.0008,0.0,0.0069,0.0,0.0053,0.7694,0.5846,0.4489,0.0,0.9082,0.3076,0.0,0.5196,0.0708,0.0356,0.0,0.0,0.0846,0.0072,0.7366,0.7074
APL,0.1307,0.1307,0.0339,0.7106,0.3258,0.2057,0.0991,0.2625,0.0637,0.0429,0.0965,0.0336,0.2786,0.2851,0.7236,0.3538,0.6897,0.2233,0.4707,0.1393,0.4122,0.1121,0.1847,0.0479,0.5011,0.0968,0.0,0.6533,0.6944,0.6399,0.3534,0.2732,0.0374,0.0041,0.0,0.0,0.0005,0.0916,0.6389,0.0228,0.7608,0.4002,0.4467,0.5574,0.4945,0.4864,0.2744,0.8852,0.0012,0.0306,0.6608,0.6087,0.6445,0.0172,0.027,0.8013,0.235,0.3771,0.6479,0.8696,0.9971,0.932,0.9873,0.3922,0.9196,0.0624,0.0378,0.2867,0.9931,0.3711,0.1601,0.7671,0.4544,0.7207,0.6977,0.5708,0.0507,0.6822,0.6639,0.1682
